Movie release date,Number of movies,DATE,PERSON,LOCATION,NUMBER,TIME,ORGANIZATION,MISC,DURATION,SET,ORDINAL,MONEY,PERCENT
1911,10,"[('1863', 1), ('1900', 1), ('1977', 1), ('1998', 1), ('currently', 1), ('17th', 1), ('century', 1)]","[('Andrew', 21), ('Fallows', 10), ('Leslie', 9), ('George', 7), ('Hare', 5), ('Hall', 5), ('Wynne', 4), ('Mrs', 3), ('miller', 3), ('John', 2), ('Jennie', 2), ('Ben', 2), ('Keightley', 2), ('Frank', 2), ('Gardiner', 2), ('Tattersall', 1), ('Dick', 1), ('Fred', 1), ('Broncho', 1), ('Billy', 1)]","[('Florence', 18), ('America', 4), ('Mormon', 3), ('Hare', 2), ('Salt', 2), ('Lake', 2), ('City', 2), ('Wynne', 1), ('Melbourne', 1), ('London', 1), ('Goulburn', 1), ('Massachusetts', 1), ('Denmark', 1), ('American', 1), ('Utah', 1)]","[('hours', 2), ('years', 2), ('one', 1), ('500', 1), ('thirty', 1), ('17', 1), ('25', 1), ('One', 1), ('two', 1)]","[('the', 1), ('night', 1), ('evening', 1)]","[('Hare', 2), ('\\*', 2), ('Cowboy', 1), ('Fred', 1), ('Church', 1), ('Harry', 1), ('Todd', 1), ('Brinsley', 1), ('Shaw', 1), ('Oxford', 1), ('University', 1), ('Press', 1), ('St.', 1), ('Paul', 1), (""'s"", 1), ('Cathedral', 1)]","[('Australian', 1), ('Puritan', 1), ('Danish', 1), ('American', 1), ('Mormon', 1)]","[('six', 1), ('eight', 1), ('32', 1), ('10', 1), ('One', 1), ('day', 1)]",[],"[('two-third', 1), ('first', 1)]",[],[]
1912,9,"[('now', 1)]","[('Parker', 7), ('Mollie', 6), ('Geronimo', 5), ('Pauline', 4), ('Roze', 2), ('Kate', 2), ('Wilkins', 2), ('Gray', 2), ('Goodhue', 2), ('Algie', 1), ('Allmore', 1), ('Harry', 1), ('Lyons', 1), ('James', 1), ('Cruze', 1), ('Dr.', 1), ('Jekyll', 1), ('Mr.', 1), ('Hyde', 1), ('Everhard', 1)]","[('IMDB.com', 1), ('Australian', 1), ('Chiricahua', 1), ('Fort', 1), ('Sill', 1), ('New', 1), ('York', 1)]","[('year', 1), ('minutes', 1)]",[],"[('Indians', 5), ('Jekyll', 3), ('U.S.', 1), ('Army', 1), ('American', 1), ('Everhard', 1), ('Gray', 1), ('Lieutenant', 1), ('Parker', 1)]","[('Indian', 2), ('Native', 1), ('American', 1)]","[('this', 1), ('10-minute', 1), ('one', 1), ('15', 1)]",[],[],[],[]
1913,18,"[('May', 5), ('once', 2), ('now', 1), ('late', 1), ('12th', 1), ('century', 1)]","[('Ingeborg', 8), ('Cohen', 7), ('Kammacher', 7), ('Von', 7), ('Hyde', 7), ('Joyce', 5), ('Jennie', 5), ('William', 5), ('Goldberg', 4), ('Rebecca', 4), ('Dr.', 4), ('Friedrich', 4), ('Eiden', 4), ('Eva', 3), ('Cedric', 3), ('Rowena', 3), ('Larry', 3), ('McGee', 3), ('Jekyll', 3), ('Willem', 3)]","[('New', 6), ('York', 6), ('Roland', 3), ('England', 3), ('Denmark', 2), ('Spanish', 2), ('Netherlands', 2), ('Breda', 2), ('Stockholm', 1), ('Patsyuk', 1), ('St.', 1), ('Petersburg', 1), ('Vakula', 1), ('Gettysburg', 1), ('Berlin', 1), ('Paris', 1), ('Atlantic', 1), ('Tutanekai', 1), ('Prague', 1), ('Larry', 1)]","[('one', 7), ('three', 2), ('years', 2), ('two', 2), ('One', 1), ('8', 1), ('seven', 1), ('eight', 1), ('day', 1)]","[('night', 5), ('morning', 1), ('the', 1), ('that', 1)]","[('Jekyll', 6), ('of', 5), ('Prince', 4), ('Orange', 4), ('Vakula', 2), ('Solokha', 1), ('Union', 1), ('Army', 1), ('SS', 1), ('Roland', 1), ('Ingigerd', 1), ('Hinemoa', 1), ('Police', 1), ('Force', 1), ('Van', 1), ('Brederode', 1), ('Parma', 1), ('Siege', 1), (""'s"", 1), ('Hertogenbosch', 1)]","[('Cossacks', 2), ('Christmas', 1), ('Eve', 1), ('Metalsmith', 1), ('Tsarina', 1), ('Zaporozhian', 1), ('American', 1), ('Civil', 1), ('War', 1), ('Russian', 1), ('Ingigered', 1), ('Ingigereds', 1), ('Ingigerd', 1), ('Jewish', 1), ('Lion-Hearted', 1), ('Eugenics', 1), ('Navajo', 1)]","[('fifteen', 1), ('one', 1), ('100', 1)]",[],"[('first', 2), ('second', 1), ('fourth', 1)]",[],[]
1914,43,"[('now', 5), ('the', 2), ('years', 2), ('1915', 1), ('future', 1), ('23', 1), ('April', 1), ('2010', 1), ('ten', 1), ('earlier', 1), ('19', 1), ('later', 1), ('1146', 1), ('minute', 1), ('Once', 1)]","[('Charlie', 35), ('Chaplin', 16), ('Laura', 15), ('Mabel', 14), ('Ruth', 11), ('Tillie', 10), ('Mombi', 8), ('Bradley', 8), ('Pon', 6), ('Cleo', 6), ('Angelo', 6), ('Jane', 5), ('Ambrose', 5), ('Andrews', 5), ('Nancy', 4), ('Jack', 3), ('Dorothy', 3), ('Tony', 3), ('Nina', 3), ('Judith', 3)]","[('New', 4), ('York', 3), ('California', 2), ('San', 2), ('Australia', 1), ('US', 1), ('Emerald', 1), ('City', 1), ('Mombi', 1), ('Uncle', 1), ('Banks', 1), ('Cinderella', 1), ('Venice', 1), ('Cal', 1), ('Argentina', 1), ('Bethulia', 1), ('Italy', 1), ('Orleans', 1), ('Solomon', 1), ('Islands', 1)]","[('one', 12), ('two', 8), ('three', 2), ('four', 1), ('Three', 1), ('666', 1), ('999', 1), ('Hundred', 1), ('years', 1)]","[('midnight', 1), ('twelve', 1), (""o'clock"", 1)]","[('Gloria', 4), ('Keystone', 3), ('Cowardly', 2), ('Lion', 2), ('Cinderella', 2), ('Studios', 2), ('McVeagh', 2), ('Red', 1), ('Wagon', 1), ('Uncle', 1), ('Banks', 1), ('King', 1), ('Low-Brow', 1), ('Junior', 1), ('Vanderbilt', 1), ('Carlotta', 1)]","[('Tin', 2), ('Woodman', 2), ('Greek', 1), ('Tramp', 1), ('Scarecrow', 1), ('Book', 1), ('of', 1), ('Common', 1), ('Prayer', 1), ('American', 1), ('Jewish', 1), ('Assyrians', 1)]","[('day', 4), ('One', 2), ('days', 1), ('The', 1), ('next', 1), ('a', 1), ('second', 1), ('20', 1), ('old', 1)]",[],"[('first', 4), ('third', 1)]","[('million', 2), ('dollars', 2), ('three', 1), ('one', 1)]",[]
1915,32,"[('October', 2), (',', 2), ('1915', 2), ('Yesterday', 2), ('31', 1), ('previously', 1), ('11', 1), ('yesterday', 1), ('four', 1), ('centuries', 1), ('earlier', 1), ('now', 1), ('winter', 1)]","[('Poe', 24), ('Jane', 15), ('Charlie', 10), ('John', 9), ('Lothario', 8), ('Allan', 6), ('Wilhelm', 5), ('Lizzie', 5), ('Luke', 5), ('Stanley', 5), ('Michele', 5), ('Viola', 5), ('Helen', 5), ('Ewing', 4), ('Stuart', 4), ('Drayton', 4), ('Mr.', 4), ('Jimmy', 4), ('Dorothy', 4), ('Winfred', 4)]","[('Virginia', 11), ('New', 3), ('York', 3), ('Giarno', 2), ('Naples', 2), ('Africa', 2), ('shanghai', 1), ('Paris', 1), ('Portland', 1), ('Manhattan', 1), ('Posillipo', 1), ('Avellino', 1), ('England', 1), ('Bije', 1), ('Benton', 1), ('Emmy', 1), ('Colorado', 1), ('Burmese', 1), ('South', 1), ('America', 1)]","[('one', 7), ('two', 5), ('sixteen', 1), ('ten', 1), ('day', 1), ('fifteen', 1), ('years', 1)]","[('the', 1), ('evening', 1)]","[('of', 2), ('Stanley', 2), ('Navy', 2), ('Review', 2), ('Oki', 1), ('Baleful', 1), ('Power', 1), ('Passion', 1), ('for', 1), ('Gold', 1), ('Musette', 1), ('Filina', 1), ('Red', 1), ('Circle', 1), ('Keystone', 1), ('Cops', 1), ('Paramount', 1), ('Pictures', 1), ('Corporation', 1), ('Stuarts', 1)]","[('War', 4), ('Nevinsons', 3), ('American', 3), ('Civil', 2), ('Australian', 2), ('World', 2), ('Golden', 1), ('Claw', 1), ('Parts', 1), ('Man', 1), ('Oregonian', 1), (':', 1), ('``', 1), ('Little', 1), ('Miss', 1), ('Rabbi', 1), ('German', 1), ('Thrills', 1), ('Southern', 1), ('Zulus', 1)]","[('day', 4), ('the', 2), ('first', 1), ('one', 1), ('four-year-old', 1), ('about', 1), ('15', 1), ('a', 1), ('next', 1)]",[],"[('first', 5), ('second', 1)]","[('$', 2), ('30,000', 1), ('600.00', 1)]",[]
1916,32,"[('now', 8), ('later', 6), ('years', 5), ('the', 2), ('several', 1), ('days', 1), ('Twelve', 1), (""'"", 1), ('birthday', 1), ('The', 1), ('Fall', 1), ('of', 1), ('two', 1), ('One', 1), ('month', 1), ('Fifteen', 1), ('fall', 1), ('Twenty', 1), ('19th', 1), ('century', 1)]","[('Ann', 13), ('Peppina', 11), ('Frans', 9), ('John', 8), ('Leo', 8), ('Lizette', 6), ('Henry', 6), ('Torrens', 6), ('Amy', 5), ('Rudolf', 5), ('Roselaar', 5), ('Lois', 5), ('Mary', 5), ('Molly', 4), ('O', 4), ('Chaplin', 4), ('Dr.', 4), ('Louise', 4), ('Jimmie', 4), ('Higgins', 4)]","[('New', 6), ('York', 6), ('Italy', 4), ('American', 4), ('America', 4), ('Peppina', 3), ('City', 2), ('Battlesburg', 2), ('Sydney', 1), ('European', 1), ('Florence', 1), ('Montrose', 1), ('Leiden', 1), ('Netherlands', 1), ('Germany', 1), ('Soldo', 1), ('Walton', 1), ('Iowa', 1), ('Monterrey', 1), ('Mexico', 1)]","[('One', 3), ('one', 3), ('two', 3), ('three', 2), ('|', 2), ('Two', 2), ('12', 1), ('day', 1), ('seconds', 1), ('15', 1)]","[('night', 3), ('the', 2), ('morning', 1)]","[('New', 3), ('York', 3), ('Times', 3), ('Hoodoo', 2), ('Review', 2), ('Earle', 1), ('Williams', 1), ('Hawk', 1), ('Miss', 1), ('Moneybags', 1), ('Ann', 1), ('Yahoo', 1), ('Movies', 1), ('AFI', 1), ('Plot', 1), ('Examiner', 1), ('army', 1), ('De', 1), ('Werve', 1), ('Roselaar', 1)]","[('Cassius', 2), ('American', 1), ('Mexican', 1), ('Frans', 1), ('European', 1), ('English', 1), ('Duchess', 1)]","[('day', 5), ('years', 5), ('One', 4), ('a', 2), ('few', 2), ('months', 1), ('the', 1), ('following', 1), ('one', 1), ('20', 1), ('Three', 1), ('six-year-old', 1)]",[],[],[],[]
1917,30,"[('Once', 3), ('now', 3), ('the', 2), ('of', 2), ('Fourth', 1), ('July', 1), ('1914', 1), ('fall', 1), ('recently', 1), ('previously', 1), ('1917', 1), ('20th', 1), ('century', 1), ('once', 1)]","[('Angela', 18), ('Ned', 17), ('Jimmie', 15), ('Jim', 12), ('Peter', 10), ('Polly', 9), ('John', 8), ('Sally', 8), ('Vandeteer', 7), ('Elsie', 7), ('Chaplin', 7), ('Hoadley', 6), ('Liz', 6), ('Ward', 6), ('Elga', 5), ('Norman', 5), ('Brown', 4), ('Kate', 4), ('Annie', 4), ('Norah', 4)]","[('America', 6), ('French', 6), ('German', 3), ('New', 3), ('York', 3), (""D'Artagnan"", 3), ('Gilgal', 3), ('Vangy', 2), ('Coney', 2), ('Island', 2), ('City', 2), ('United', 2), ('States', 2), ('Russia', 2), ('Kansas', 2), ('Cordeliaville', 2), ('American', 1), ('Count', 1), ('Jules', 1), ('De', 1)]","[('two', 9), ('one', 5), ('three', 2), ('day', 2), ('One', 2), ('10,000', 1), ('minute', 1), ('739', 1), ('Three', 1), ('5,000', 1), ('7', 1)]","[('night', 1), ('midnight', 1), ('morning', 1)]","[('New', 7), ('York', 7), ('Times', 7), ('Review', 6), ('Double', 3), ('Cross', 3), ('Cheyenne', 2), ('Harry', 2), ('Merrill', 2), ('Prairie', 2), ('Bell', 2), ('Brice', 1), ('Keystone', 1), ('Kops', 1), ('American', 1), ('Film', 1), ('Institute', 1), ('Ivan', 1), ('Films', 1), ('Corp', 1)]","[('Germans', 8), ('French', 6), ('Karl', 3), ('American', 3), ('Tramp', 2), ('Mission', 2), ('Von', 1), ('Austreim', 1), ('German', 1), ('Old', 1), ('Prussians', 1), ('Fisherwoman', 1), ('Norse', 1), ('Grand', 1), ('Canyon', 1), ('Native', 1), ('Turner', 1), ('Classic', 1), ('Movies', 1), ('Synopsis', 1)]","[('day', 6), ('next', 4), ('The', 3), ('One', 3), ('the', 2), ('Three', 1), ('months', 1), ('weeks', 1), ('twenty-four', 1), ('one', 1), ('minute', 1)]",[],"[('fourth', 1), ('third', 1)]","[('$', 1), ('100,000', 1), ('10', 1), ('cents', 1)]",[]
1918,27,"[('now', 6), ('the', 4), ('years', 3), ('once', 3), ('later', 3), ('day', 2), ('1918', 2), ('Three', 2), ('recently', 1), ('previously', 1), ('six', 1), ('August', 1), ('2010', 1), ('current', 1), ('Once', 1), ('Future', 1), ('early', 1), ('1900s', 1), ('five', 1), ('Now', 1)]","[('Stella', 13), ('John', 13), ('Charlie', 13), ('Mary', 11), ('Richard', 8), ('William', 7), ('Louise', 7), ('Hutton', 7), ('Charles', 7), ('Beth', 6), ('Stan', 6), ('Nora', 6), ('Nutt', 6), ('Terry', 6), ('Jane', 5), ('Frank', 4), ('Bill', 4), ('Kenneth', 4), ('Jack', 4), ('Edith', 4)]","[('German', 3), ('United', 3), ('States', 3), ('America', 3), ('San', 3), ('Francisco', 3), ('Cheyenne', 3), ('Harry', 3), ('Berlingot', 2), ('Berlin', 2), ('Harcourts', 1), ('Harcourt', 1), ('London', 1), ('Europe', 1), ('Germany', 1), ('Brainerd', 1), ('U.S.', 1), ('California', 1), ('Africa', 1), ('Odine', 1)]","[('one', 13), ('two', 4), ('years', 4), ('One', 2), ('four', 1), ('Two', 1), ('five', 1), ('151-2', 1)]","[('night', 6), ('Night', 4), ('the', 2), ('11:00', 1), ('The', 1), ('evening', 1), ('midnight', 1)]","[('Salvation', 2), ('New', 2), ('York', 2), ('Times', 2), ('Tyltyl', 2), ('Cherry', 2), ('Turner', 1), ('Classic', 1), ('Movies', 1), ('Bradford', 1), ('Harcourts', 1), ('Red', 1), ('Cross', 1), ('Unity', 1), ('Indians', 1), ('Army', 1), ('Sue', 1), ('American', 1), ('Film', 1), ('Institute', 1)]","[('French', 3), ('Boy', 3), ('German', 3), ('Amarilly', 3), ('World', 2), ('War', 2), ('American', 2), ('I.', 1), ('The', 1), ('is', 1), ('Germans', 1), ('German-American', 1), ('Norwegian', 1), ('Apes', 1), ('African', 1), ('Great', 1), ('Lakes', 1), ('Mother', 1), ('of', 1), ('Pretzelstrass', 1)]","[('day', 5), ('three', 3), ('One', 2), ('60', 1)]",[],"[('third', 2), ('fifth', 1), ('first', 1)]","[('$', 3), ('1-million', 1), ('300', 1), ('50', 1), ('cent', 1), ('15', 1), ('cents', 1), ('500', 1)]",[]
1919,27,"[('1919', 2), ('fall', 2), ('wed', 2), ('Now', 2), ('later', 2), ('now', 2), ('86-89', 1), ('1996', 1), ('recently', 1), ('previously', 1), ('Once', 1), ('A', 1), ('year', 1), ('march', 1), ('1914', 1), ('1918', 1), ('Years', 1), ('the', 1), ('March', 1), ('27', 1)]","[('Josef', 25), ('Mavis', 17), ('Ossi', 16), ('Jozef', 16), ('Carmen', 16), ('Nucki', 14), ('Mary', 13), ('Jean', 9), ('Gloria', 8), ('Jimmy', 8), ('Harry', 7), ('Peter', 7), ('Jason', 7), ('Calhoun', 7), ('Stanley', 6), ('Judy', 6), ('Burke', 5), ('Crichton', 5), ('Steve', 5), ('Bollek', 5)]","[('New', 8), ('York', 6), ('City', 3), ('England', 3), ('Boston', 2), ('Cairo', 2), ('Marstrand', 2), ('Europe', 2), ('Sonora', 1), ('Texas', 1), ('Mexican', 1), ('Chinatown', 1), ('The', 1), ('Frog', 1), ('British', 1), ('Britain', 1), ('United', 1), ('States', 1), ('Parisian', 1), ('Egypt', 1)]","[('two', 14), ('one', 14), ('One', 5), ('three', 4), ('175', 2), ('Two', 2), ('0-8065-1604-6', 1), ('four', 1), ('years', 1), ('week', 1), ('minutes', 1), ('ten', 1), ('10', 1), ('50', 1), ('day', 1), ('days', 1)]","[('night', 7), ('Later', 2), ('that', 2), ('morning', 1), ('sunrise', 1), ('the', 1), ('evening', 1)]","[('Quaker', 13), ('Ossi', 6), ('Nucki', 6), ('Peach', 6), ('Tree', 6), ('Quakers', 3), ('Elsalill', 3), ('Inn', 3), ('Sivers', 2), ('Bollek', 2), ('Gloria', 2), ('Citadel', 1), ('Press', 1), ('Supreme', 1), ('Court', 1), ('Mille', 1), ('Hanford', 1), ('Gray', 1), ('Lloyd', 1), ('University', 1)]","[('German', 5), ('Nucki', 3), ('American', 2), ('War', 2), ('Dope', 1), ('Apaches', 1), ('Arctic', 1), ('Western', 1), ('Foxtrotters', 1), ('Bride', 1), ('Great', 1), ('Bohemian', 1), ('Girl', 1), ('Scottish', 1), ('Danish', 1), ('Scots', 1), ('half-German', 1), ('Sun', 1), ('Peach', 1), ('Tree', 1)]","[('day', 6), ('One', 4), ('one', 2), ('13-year-old', 1), ('The', 1), ('next', 1), ('Six', 1), ('years', 1), ('three', 1), ('hour', 1), ('five', 1), ('hours', 1), ('the', 1), ('poor', 1), ('quarters', 1), ('eighty', 1)]","[('daily', 1)]","[('first', 11), ('second', 2), ('47th', 1)]","[('$', 1), ('50,000', 1)]",[]
1920,30,"[('now', 9), ('the', 6), ('later', 5), ('years', 2), ('year', 2), ('future', 2), ('Twenty', 1), ('three', 1), ('current', 1), ('October', 1), ('25', 1), (',', 1), ('1920', 1), ('eight', 1), ('months', 1), ('ago', 1), ('day', 1), ('a', 1), ('about', 1), ('dawn', 1)]","[('Margarete', 35), ('Mari', 17), ('Jekyll', 17), ('Hyde', 16), ('Dr.', 13), ('Jane', 12), ('Francis', 12), ('Robert', 11), ('Horace', 11), ('Miriam', 11), ('Sally', 10), ('Cesare', 10), ('Florian', 10), ('Jim', 9), ('Keaton', 9), ('Beth', 9), ('fren', 9), ('Carey', 9), ('Buster', 8), ('Amanda', 8)]","[('Loew', 13), ('Paris', 5), ('Caligari', 5), ('London', 4), ('New', 3), ('York', 3), ('Copenhagen', 3), ('Flint', 3), ('Africa', 2), ('Orange', 2), ('Springs', 2), ('Holstenwall', 2), ('India', 2), ('North', 1), ('Baltimore', 1), ('Maryland', 1), ('American', 1), ('Florida', 1), ('Italy', 1), ('Norwegian', 1)]","[('two', 15), ('one', 14), ('One', 4), ('three', 3), ('years', 2), ('Two', 1), ('four', 1), ('hours', 1), ('week', 1), ('22', 1), ('twenty', 1), ('score', 1), ('year', 1)]","[('night', 6), ('morning', 3), ('the', 2), ('Midnight', 1), ('afternoon', 1)]","[('Jekyll', 6), ('Renault', 3), ('Buck', 2), ('North-West', 1), ('Mounted', 1), ('Police', 1), ('New', 1), ('York', 1), ('Times', 1), ('Lady', 1), ('Burke-Cavendish', 1), ('Herne', 1), ('Caligari', 1), ('Eden', 1), ('Astaroth', 1), ('Breton', 1), ('Utterson', 1), ('Hyde\\/Jekyll', 1), ('Trelawney', 1), ('American', 1)]","[('Jews', 8), ('Jewish', 2), ('American', 1), ('Olive', 1), ('German', 1), ('Cesare', 1), ('Famulus', 1), ('Astaroth', 1), ('Ahasuerus', 1), ('Luhois', 1), ('Golem', 1), ('Easter', 1), ('Nolff', 1), ('Italian', 1), ('Confucianist', 1)]","[('day', 6), ('One', 5), ('next', 3), ('16-year-old', 2), ('the', 2), ('year', 2), ('years', 2), ('a', 2), ('24', 1), ('seven', 1), ('one', 1), ('Week', 1), ('20', 1), ('20-year-old', 1), ('quarters', 1), ('The', 1), ('second', 1), ('Years', 1), ('Six', 1), ('five', 1)]","[('every', 1), ('day', 1)]","[('first', 8), ('second', 2), ('third', 1)]",[],[]
